id;documento
1;A aviação de Israel realizou durante a madrugada desta segunda-feira, dia 7, ataques a 150 alvos no Líbano. Enquanto isso, soldados israelenses mataram 10 integrantes da milícia do Hezbollah. Durante este domingo, dia 6, foram travadas lugas sangrentas. Os foguetes e ataques do Hezbollah causaram a morte de 15 pessoas e deixaram mais de 200 feridas. Já o Exército de Israel provocaram a morte de 30 militantes do Hezbollah. Comandos israelenses mataram outros três guerrilheiros libaneses na cidade de Tiro, onde destruíram sete plataformas de lançamento de foguetes, informaram as fontes israelenses.
2;Uma nova série de ataques criminosos foi registrada na madrugada desta segunda-feira, dia 7, em São Paulo e municípios do interior paulista. Os bandidos atacaram agências bancárias, bases policiais e prédios públicos com bombas e tiros. Uma bomba caseira foi jogada contra o prédio do Ministério Público, na capital do estado. As ações criminosas podem ter sido ordenadas pelos líderes do Primeiro Comando da Capital (PCC), que haviam prometido retomar os ataques no Estado de São Paulo no Dia dos Pais, no próximo domingo. Na região do ABC Paulista pelo menos dez ônibus foram incendiados - sete em Mauá e três em Santo André. Na capital, houve ataques a outros quatro ônibus. Uma bomba caseira foi atirada contra a sede do Ministério Público (MP). A rua foi interditada pela polícia. A bomba, composta por parafusos e materiais metálicos, provocou estragos em portas e janelas que ficam a cerca de 20 metros do local da explosão. No momento, apenas um taxista e um passageiro estavam na rua. O prédio da secretaria da Fazenda, no centro, foi atingido por três bombas caseiras. Os líderes da facção criminosa PCC haviam prometido uma nova onda de ataques caso o Ministério Público de São Paulo negasse a saída temporária de presos em virtude do Dia dos Pais. O benefício depende de decisão judicial após análise do Ministério Público e os presos poderiam deixar a cadeia no período do dia 9 até 15 de agosto. A Vara de Execuções Criminais do Estado já registrou 900 pedidos de autorização de saída temporária.
3;"Um total de 549 pessoas morreram, 3.043 ficaram feridas e 295 estão desaparecidas em razão das enchentes que recentemente afetaram a Coréia do Norte, informou hoje um jornal pró norte-coreano publicado no Japão, que citou fontes oficiais de Pyongyang. Segundo o jornal ""Choson Sinbo"", publicado pela Associação de Residentes Coreanos no Japão (próxima ao regime comunista da Coréia do Norte), as fortes chuvas que alagaram grande parte desse país na segunda metade de julho provocaram ""muitos danos"". No entanto, a publicação, que cita autoridades norte-coreanas, desmentiu o número de até 10 mil mortos pelas inundações, calculado por algumas ONGs que trabalham na Coréia do Norte. Além do número de mortos e desaparecidos, o ""Choson Sinbo"" acrescenta um total de 3.043 feridos. A Federação Internacional da Cruz Vermelha afirmou na sexta-feira (4) que cerca de 17 mil famílias ficaram desabrigadas por causa das inundações. Apesar de o governo norte-coreano ter rejeitado o envio de ajuda estrangeira para atenuar os danos causados pelas chuvas torrenciais, a emissora de TV oficial do país começou a transmitir nos últimos dias notícias sobre a iminente chegada de comida e bens de primeira necessidade do exterior. A agência sul-coreana Yonhap disse na sexta-feira que um alto funcionário de Pyongyang pediu o envio urgente de alimentos para seu país. As inundações destruíram grande parte dos cultivos de cereais na Coréia do Norte, que já sofre com um forte racionamento. Analistas indicaram nos últimos dias que o país pode passar por outra crise com a falta de alimentos, que nos anos 90 matou de fome entre 1 milhão e 2,5 milhões de pessoas, segundo diferentes dados. A Coréia do Sul interrompeu em julho o envio de alimentos ao vizinho do norte depois de o regime comunista disparar sete mísseis balísticos. No entanto, depois de conhecer a dimensão das inundações, o governo de Seul manifestou sua predisposição em oferecer ajuda à Coréia do Norte caso aconteça uma nova crise alimentícia."
4;"Quinze voluntários da ONG francesa Ação Contra a Fome (ACF) foram assassinados no nordeste do Sri Lanka, informou hoje um porta-voz da organização. Os crimes aconteceram na cidade de Muttur, que durante as últimas duas semanas vive graves conflitos entre as tropas do Exército do Sri Lanka e a guerrilha dos Tigres de Libertação da Pátria Tâmil (LTTE). Os corpos de 11 homens e 4 mulheres de etnia tâmil, vestidos com camisetas da ACF, apareceram na semana passada no escritório da organização. O diretor da ACF no Sri Lanka, Benoit Miribel, confirmou a morte de seus funcionários e afirmou, comovido, que a ONG ""não sofreu uma perda similar em seus mais de 25 anos de existência"". ""Tentamos enviar uma equipe a Muttur para averiguar o que está acontecendo, mas os soldados não permitiram que entrássemos na cidade, que está totalmente bloqueada"", afirmou. Até o momento, as autoridades do Sri Lanka não confirmaram as mortes ou esclareceram o que acontece na cidade de Muttur. O violento conflito começou em 26 de julho, quando as tropas aéreas do governo bombardearam posições da guerrilha, depois que os rebeldes bloquearam uma represa situada em seu território por mais de uma semana, impedindo a provisão de água em localidades sob controle governamental. No domingo, o LTTE ofereceu o cessar-fogo em troca do desbloqueio da presa, mas o governo rejeitou a oferta e lançou uma nova ofensiva sobre a área, de onde mais de 15 mil civis foram obrigados a fugir na última semana. Os rebeldes afirmaram que consideram o novo bombardeio do Exército equivalente a ""uma declaração de guerra"". O enviado especial da Noruega para a paz no Sri Lanka, Jon Hanssen-Bauer, chegou na semana passada à ilha e manteve diferentes reuniões com as duas partes, na tentativa de reduzir a tensão e evitar a volta a uma guerra civil."
5;O ministro da Saúde egípcio, Hatem El-Gabaly, informou nesta segunda-feira que 57 pessoas morreram e 128 ficaram feridas no choque entre dois trens de passageiros no delta do Nilo, ao norte do Cairo. Os feridos, vários deles em estado grave, foram levados para seis hospitais da região onde aconteceu o acidente, um dos piores ocorridos no Egito desde 2002, disse El-Gabaly, citado pela agência egípcia de notícias Mena. Fontes policiais e médicas informaram anteriormente que pelo menos 80 pessoas tinham morrido no acidente. O acidente ocorreu às 7h15 (1h15 em Brasília) entre um trem procedente da cidade nortista de Lardo e outro que esperava na estação Qalyoub, 20 quilômetros ao norte da capital do Egito. Mais de 45 ambulâncias levaram as vítimas aos hospitais de Qaliubiya e de Shebin al-Qanater. Efetivos do Exército, membros da Defesa Civil e equipes médicas participam dos trabalhos de resgate. O Governador de Qaluibiya, Adli Hussein, que se deslocou junto com outros vários altos funcionários egípcios ao local do acidente, afirmou que a colisão ocorreu quando o trem número 808 que circulava em alta velocidade se chocou com a parte traseira de outro, que vinha da de Qaliub. Fontes do Ministério de Transporte disseram que vários vagões descarrilaram e tombaram, e que os bombeiros conseguiram controlar um incêndio no trem que procedia de Lardo. A maior tragédia ferroviária da história do Egito ocorreu em fevereiro de 2002, após o incêndio de um trem que cobria o trajeto entre Cairo e Luxor (sul), lotado de passageiros, e que deixou 376 mortos, segundo números oficiais.
6;Nove pessoas morreram, três delas crianças, e outras 25 ficaram feridas nesta segunda-feira em uma explosão ocorrida em um mercado de Moscou, informou a polícia. A explosão, supostamente causada por vazamento de um botijão de gás, foi registrada por volta das 10h40 (3h40 de Brasília) no setor denominado Evrazia do mercado Cherkizov, um dos maiores shoppings da capital da Rússia. A maioria dos feridos, entre os quais há quatro com menos de 18 anos, foi hospitalizada. Cerca de dez de carros de bombeiros e mais de uma dezena de ambulâncias foram enviadas ao local, que foi isolado pela polícia. A procuradoria de Moscou anunciou a criação de um grupo especial para investigar o acidente. Fontes do Ministério do Interior da Rússia citadas pela agência Interfax descartaram a possibilidade de a explosão em Cherkizov ter sido um ataque terrorista.
7;Os deputados acusados de envolvimento na máfia dos sanguessugas têm até a meia-noite desta segunda-feira para renunciar aos mandatos se quiserem escapar da cassação. A Folha Online apurou que o Congresso espera por um pedido em massa de renúncia até o final do prazo. O prazo foi definido pela Mesa Diretora da Câmara. O horário foi estabelecido para garantir que as renúncias sejam publicadas no Diário Oficial do Congresso desta terça-feira. Nos bastidores do Congresso, a expectativa é que vários parlamentares apresentem as renúncias ao mesmo tempo na segunda-feira à tarde para evitar desgastes isolados perante a opinião pública. A avaliação entre os deputados sanguessugas é que o deputado Coriolano Sales (PFL-BA) se precipitou e expôs o PFL quando decidiu renunciar sozinho ao mandato. Nos últimos dias, vários parlamentares procuraram o presidente da Câmara, Aldo Rebelo (PC do B-SP), e a assessoria jurídica da Casa pedindo orientações sobre como proceder em casos de renúncia. Entre eles, os deputados Nilton Capixaba (PTB-RO), João Caldas (PL-AL), respectivamente segundo e quarto-secretários da Câmara, além da deputada Laura Carneiro (PFL-RJ). Muitos já desistiram de disputar as eleições de outubro, diante do desgaste provocado pela CPI dos Sanguessugas. Ao contrário do escândalo do mensalão, no caso dos sanguessugas, os parlamentares estão sendo abandonados pelos partidos --especialmente por ser ano eleitoral. Os deputados da bancada evangélica, por exemplo, já teriam perdido o apoio das igrejas ligadas a eles. Dos 66 congressistas ligados a igrejas evangélicas, 23 --mais de um terço da bancada-- estão envolvidos nas irregularidades e tiveram a cassação de seus mandatos sugerida. O regimento da Câmara determina que as renúncias sejam lidas no plenário e publicadas no Diário Oficial. Como o Congresso está em recesso branco, sem sessões deliberativas, a assessoria jurídica da Casa orientou a Mesa da Câmara a apenas publicar os pedidos. As renúncias têm que ser publicadas até terça-feira, quando o presidente do Conselho de Ética, deputado Ricardo Izar (PTB-SP), vai instaurar os processos de perda de mandato contra os 69 deputados acusados pela CPI dos Sanguessugas de envolvimento com a máfia das ambulâncias. Depois de iniciados os processos, as renúncias não têm mais o efeito de paralisar as investigações. O Senado ainda estuda os prazos regimentais para as renúncias de senadores envolvidos nas irregularidades. Dois deles, Magno Malta (PL-ES) e Serys Slhessarenko (PT-MT) garantiram à Folha Online que não pretendem renunciar aos mandatos. O terceiro suspeito de envolvimento nas fraudes, senador Ney Suassuna (PMDB-PB), não foi localizado para comentar uma possível renúncia.
8;"Após um fim de semana no Norte e Nordeste ao lado de caciques pefelistas adeptos de uma campanha mais ofensiva e com discursos duros contra o presidente Luiz Inácio Lula da Silva, o candidato do PSDB à Presidência, Geraldo Alckmin, deixou ontem a linha ""paz e amor"" e se curvou à temperatura alta do debate eleitoral. Alckmin acusou Lula de arrogante, de subestimar a inteligência dos brasileiros e relacionou o presidente aos escândalos do mensalão, sanguessuga e ao caso Waldomiro Diniz. Por fim, recomendou humildade ao petista. ""Na realidade, o presidente deu as costas para o povo brasileiro, para a Justiça e os bons costumes. Trabalhou do lado do Waldomiro (Diniz), do mensalão, dos sanguessugas, do valerioduto, desses escândalos todos. Isso é que é grave"", reagiu o candidato à declaração de Lula de que o PSDB abandonou os pobres e que ele é vítima de preconceito das elites do País porque fez o contrário. A subida de tom veio no momento de maior crise da campanha de Alckmin. Na sexta-feira, o senador Antonio Carlos Magalhães (PFL-BA) expôs publicamente sua irritação com o estilo sereno do tucano e cobrou exatamente o que Alckmin fez ontem: colar à imagem de Lula todos os casos de corrupção que estouraram no atual governo. Sem citar nominalmente o adversário, Alckmin criticou de novo Lula ao comentar especulações de que o petista, convicto na vitória no primeiro turno, já estaria fazendo planos sobre sua nova equipe ministerial. ""É uma declaração arrogante, porque a campanha está começando. É subestimar a inteligência das pessoas"". E alfinetou: ""Tem candidato aí com salto número 15. Eu vou com as sandálias da humildade"". Em discurso em um almoço beneficente ontem na quadra de uma escola de samba na zona norte de São Paulo, o tucano ironizou: ""A humildade é o estágio mais alto da sabedoria"". Apesar da diferença que o separa de Lula nas pesquisas, para o tucano é certo o enfrentamento com o presidente num segundo turno. ""A eleição vai para o segundo turno. São dois, três pontinhos e já dá segundo turno"", afirmou. ""Aí, é outra eleição. Não tem como fugir da comparação e do debate"", cutucou o presidenciável tucano. Mas a reviravolta no discurso tucano não deve chegar à TV tão brevemente, como também reivindicava ACM. Segundo o ex-governador, a estratégia de priorizar no programa eleitoral na TV a sua biografia tem sido bem-sucedida e não deve mudar, por enquanto. ""Você percebe já na rua uma grande mudança. As pessoas já começam a querer conhecer, saber o que fez"", afirmou o tucano. Para um público de cerca de 500 pessoas, a maioria sambistas, Alckmin ressaltou suas realizações no governo do Estado para a população negra e prometeu, a exemplo do que fez em São Paulo, regularizar todas as áreas de quilombos no País."
9;"Um atirador matou ao menos 30 pessoas em dois diferentes locais da Universidade Técnica da Virgínia, em Blacksburg (Virgínia), nesta segunda-feira, no pior ataque a tiros contra um campus universitário da história dos Estados Unidos. O agressor também morreu. Não ficou claro se ele foi morto por policiais ou se se suicidou após o ataque. O presidente George W. Bush disse estar horrorizado com o ocorrido, segundo a Casa Branca. ""Hoje a universidade foi atingida por uma tragédia que consideramos de proporções monumentais"", afirmou o presidente da escola, Charles Steger. ""Estamos chocados"". Os dois ataques, que ocorreram em lados opostos do campus de 1.050 hectares, tiveram início às 7h15 (8h15 de Brasília) em West Ambler Johnston Hall, residência estudantil que abriga ao menos 895 pessoas. Pouco depois, Norris Hall, edifício da engenharia, foi alvo de outro ataque a tiros. A maioria dos mortos eram estudantes da universidade. Um deles foi morto em um dormitório e outros foram assassinados dentro de uma sala de aula, segundo o chefe de polícia do campus, W.R. Flinchum. O nome do homem armado não foi divulgado, tampouco se ele era estudante da escola. Antes desta segunda-feira, o pior ataque contra um campus da história dos EUA havia ocorrido em 1966 na Universidade do Texas, quando Charles Whitman subiu em uma torre de observação de 27 andares e abriu fogo. Ela matou 16 pessoas antes de ser baleado e morto. Após os ataques a tiros, todas as entradas do campus foram fechadas, e as aulas foram suspensas. A universidade estabeleceu um local de encontro entre famílias e representantes estudantis. Uma reunião deve ocorrer nesta terça-feira na quadra de basquete da escola. ""Há forte comoção. É difícil dizer exatamente o que está acontecendo"", disse Jason Anthony Smith, 19, que mora no dormitório onde um dos ataques a tiros ocorreu. Segundo Aimee Kanode, aluna do primeiro ano, o primeiro ataque ocorreu no primeiro andar do West Ambler Johnston, um andar acima do quarto em que ela dorme. ""Eles [a universidade] nos trancaram temporariamente nos quartos"", afirmou. ""Ficamos todos trancados nos quartos e acessando a internet para tentar saber o que acontecia"". A Universidade de Tecnologia da Virgínia tem 26 mil estudantes e fica a 390 km de Washington. É a segunda vez em menos de um ano que a universidade, que abriga 26 mil alunos, teve de ser fechada devido a um tiroteio. Em agosto de 2006, o reinício das aulas foi suspenso e a entrada no campus foi bloqueada depois que um fugitivo matou um segurança e um policial envolvidos em uma perseguição ocorrida em um ponto próximo da universidade."
10;"O médico pessoal do argentino Diego Maradona, Alfredo Cahe, revelou nesta segunda-feira que uma recaída da hepatite aguda de que sofre foi o motivo da nova internação do ex-craque. Maradona havia recebido alta no último dia 11, mas voltou a ser internado na sexta-feira e os boletins médicos não especificaram o que se passava com o ex-jogador --Cahe descartou pancreatite ou úlcera. ""Maradona teve uma recaída na hepatite aguda. Agora está estável. Apesar de ter melhorado no domingo, deverá continuar internado"", disse Cahe, em declarações ao jornal ""La Nación"". Maradona, 46, desenvolveu um hepatite tóxica por excesso de consumo de álcool, o que já o manteve internado durante 13 dias antes da primeira alta. Cahe disse ainda que Maradona não voltou a consumir bebidas alcoólicas e que as causas da recaída estão sendo investigadas."
