Token	POS-Tag	OOV	Id	Index	Documento
Bom	INTJ	0	1	0	Bom dia pessoal , Produto muito bom , sou bem chato na compra de cuecas , comprei essa Marca e me impressionei com a qualidade do tecido . A entrega foi exatamente como o prometido , dentro do prazo . Parabéns ao Lojista . Breve retornarei realizar pedidos desse produto .
dia	NOUN	0	1	1	Bom dia pessoal , Produto muito bom , sou bem chato na compra de cuecas , comprei essa Marca e me impressionei com a qualidade do tecido . A entrega foi exatamente como o prometido , dentro do prazo . Parabéns ao Lojista . Breve retornarei realizar pedidos desse produto .
pessoal	ADJ	0	1	2	Bom dia pessoal , Produto muito bom , sou bem chato na compra de cuecas , comprei essa Marca e me impressionei com a qualidade do tecido . A entrega foi exatamente como o prometido , dentro do prazo . Parabéns ao Lojista . Breve retornarei realizar pedidos desse produto .
,	PUNCT	0	1	3	Bom dia pessoal , Produto muito bom , sou bem chato na compra de cuecas , comprei essa Marca e me impressionei com a qualidade do tecido . A entrega foi exatamente como o prometido , dentro do prazo . Parabéns ao Lojista . Breve retornarei realizar pedidos desse produto .
Produto	PROPN	1	1	4	Bom dia pessoal , Produto muito bom , sou bem chato na compra de cuecas , comprei essa Marca e me impressionei com a qualidade do tecido . A entrega foi exatamente como o prometido , dentro do prazo . Parabéns ao Lojista . Breve retornarei realizar pedidos desse produto .
muito	ADV	0	1	5	Bom dia pessoal , Produto muito bom , sou bem chato na compra de cuecas , comprei essa Marca e me impressionei com a qualidade do tecido . A entrega foi exatamente como o prometido , dentro do prazo . Parabéns ao Lojista . Breve retornarei realizar pedidos desse produto .
bom	ADJ	0	1	6	Bom dia pessoal , Produto muito bom , sou bem chato na compra de cuecas , comprei essa Marca e me impressionei com a qualidade do tecido . A entrega foi exatamente como o prometido , dentro do prazo . Parabéns ao Lojista . Breve retornarei realizar pedidos desse produto .
,	PUNCT	0	1	7	Bom dia pessoal , Produto muito bom , sou bem chato na compra de cuecas , comprei essa Marca e me impressionei com a qualidade do tecido . A entrega foi exatamente como o prometido , dentro do prazo . Parabéns ao Lojista . Breve retornarei realizar pedidos desse produto .
sou	AUX	0	1	8	Bom dia pessoal , Produto muito bom , sou bem chato na compra de cuecas , comprei essa Marca e me impressionei com a qualidade do tecido . A entrega foi exatamente como o prometido , dentro do prazo . Parabéns ao Lojista . Breve retornarei realizar pedidos desse produto .
bem	ADV	0	1	9	Bom dia pessoal , Produto muito bom , sou bem chato na compra de cuecas , comprei essa Marca e me impressionei com a qualidade do tecido . A entrega foi exatamente como o prometido , dentro do prazo . Parabéns ao Lojista . Breve retornarei realizar pedidos desse produto .
chato	ADJ	1	1	10	Bom dia pessoal , Produto muito bom , sou bem chato na compra de cuecas , comprei essa Marca e me impressionei com a qualidade do tecido . A entrega foi exatamente como o prometido , dentro do prazo . Parabéns ao Lojista . Breve retornarei realizar pedidos desse produto .
na	ADP	0	1	11	Bom dia pessoal , Produto muito bom , sou bem chato na compra de cuecas , comprei essa Marca e me impressionei com a qualidade do tecido . A entrega foi exatamente como o prometido , dentro do prazo . Parabéns ao Lojista . Breve retornarei realizar pedidos desse produto .
compra	NOUN	0	1	12	Bom dia pessoal , Produto muito bom , sou bem chato na compra de cuecas , comprei essa Marca e me impressionei com a qualidade do tecido . A entrega foi exatamente como o prometido , dentro do prazo . Parabéns ao Lojista . Breve retornarei realizar pedidos desse produto .
de	ADP	0	1	13	Bom dia pessoal , Produto muito bom , sou bem chato na compra de cuecas , comprei essa Marca e me impressionei com a qualidade do tecido . A entrega foi exatamente como o prometido , dentro do prazo . Parabéns ao Lojista . Breve retornarei realizar pedidos desse produto .
cuecas	NOUN	1	1	14	Bom dia pessoal , Produto muito bom , sou bem chato na compra de cuecas , comprei essa Marca e me impressionei com a qualidade do tecido . A entrega foi exatamente como o prometido , dentro do prazo . Parabéns ao Lojista . Breve retornarei realizar pedidos desse produto .
,	PUNCT	0	1	15	Bom dia pessoal , Produto muito bom , sou bem chato na compra de cuecas , comprei essa Marca e me impressionei com a qualidade do tecido . A entrega foi exatamente como o prometido , dentro do prazo . Parabéns ao Lojista . Breve retornarei realizar pedidos desse produto .
comprei	VERB	1	1	16	Bom dia pessoal , Produto muito bom , sou bem chato na compra de cuecas , comprei essa Marca e me impressionei com a qualidade do tecido . A entrega foi exatamente como o prometido , dentro do prazo . Parabéns ao Lojista . Breve retornarei realizar pedidos desse produto .
essa	DET	0	1	17	Bom dia pessoal , Produto muito bom , sou bem chato na compra de cuecas , comprei essa Marca e me impressionei com a qualidade do tecido . A entrega foi exatamente como o prometido , dentro do prazo . Parabéns ao Lojista . Breve retornarei realizar pedidos desse produto .
